0,hugodecrypte,3500000,155951,1437,856,2120,1,1,2,6
1,hugodecrypte,3500000,82531,922,1025,2120,1,1,2,6
2,hugodecrypte,3500000,229810,918,773,2120,1,1,2,6
3,le_gorafi,515000,51195,492,399,3185,1,1,2,6
4,demotivateur,758000,34703,738,1412,7937,1,1,2,6
5,secretmagoff,52100,445,9,6,5117,0,0,2,2
6,le_gorafi,515000,10126,158,210,3185,1,0,2,2
7,demotivateur,758000,4703,39,141,7937,1,0,2,2
8,demotivateur,758000,7665,31,130,7937,1,0,2,2
9,konbini,2700000,3938,63,38,17900,1,0,2,2
10,konbini,2700000,84735,5450,948,17900,1,1,2,6
11,hugodecrypte,3500000,59728,164,1208,2120,1,0,2,2 // ici on changerait bien le 0 en 1
12,epicurieux,614000,2399,55,45,1590,1,0,2,2
13,konbini,2700000,44645,926,262,17900,1,1,2,6
14,rtl_france,369000,117,3,0,11800,0,0,2,2 // ici on changerait bien le 0 en 1
15,dr.jimmy.mohamed,1300000,16656,231,520,682,0,0,2,2
16,demotivateur,758000,26003,302,163,7937,1,0,2,2
17,hugodecrypte,3500000,134619,2132,2919,2120,1,1,1,5
18,hugodecrypte,3500000,66055,584,269,2120,1,1,2,6
19,le_gorafi,515000,40485,289,706,3185,1,0,2,2